canonical,name,region,type,population
"Pittsburgh, Pennsylvania, United States",Pittsburgh,Pennsylvania,City,304391
"Saint Paul, Minnesota, United States",Saint Paul,Minnesota,City,303176
"Lincoln, Nebraska, United States",Lincoln,Nebraska,City,294757
"Anchorage, Alaska, United States",Anchorage,Alaska,City,289600
"Ironville, Kentucky, United States",Ironville,Kentucky,City,288649
"Meads, Kentucky, United States",Meads,Kentucky,City,288649
"Henderson, Nevada, United States",Henderson,Nevada,City,285667
"Greensboro, North Carolina, United States",Greensboro,North Carolina,City,285342
"Plano, Texas, United States",Plano,Texas,City,283558
"Newark, New Jersey, United States",Newark,New Jersey,City,281944
"Madison, Wisconsin, United States",Madison,Wisconsin,City,280305
"St. Louis, Missouri, United States",St. Louis,Missouri,City,279695
"Chula Vista, California, United States",Chula Vista,California,City,265757
"Toledo, Ohio, United States",Toledo,Ohio,City,265638
"Jersey City, New Jersey, United States",Jersey City,New Jersey,City,264290
"Reno, Nevada, United States",Reno,Nevada,City,264165
"Chandler, Arizona, United States",Chandler,Arizona,City,260828
"Fort Wayne, Indiana, United States",Fort Wayne,Indiana,City,260326
"Buffalo, New York, United States",Buffalo,New York,City,258071
"Durham, North Carolina, United States",Durham,North Carolina,City,257636
"St. Petersburg, Florida, United States",St. Petersburg,Florida,City,257083
"Irvine, California, United States",Irvine,California,City,256927
"Laredo, Texas, United States",Laredo,Texas,City,256153
"Lubbock, Texas, United States",Lubbock,Texas,City,249042
"Gilbert, Arizona, United States",Gilbert,Arizona,City,247542
"Tri-Cities, Washington, United States",Tri-Cities,Washington,City,244036
"Winston-Salem, North Carolina, United States",Winston-Salem,North Carolina,City,241218
"Glendale, Arizona, United States",Glendale,Arizona,City,240126
"Norfolk, Virginia, United States",Norfolk,Virginia,City,238005
"Hialeah, Florida, United States",Hialeah,Florida,City,237069
"Garland, Texas, United States",Garland,Texas,City,236897
"Scottsdale, Arizona, United States",Scottsdale,Arizona,City,236839
"Irving, Texas, United States",Irving,Texas,City,236607
"Boise, Idaho, United States",Boise,Idaho,City,235684
"Chesapeake, Virginia, United States",Chesapeake,Virginia,City,235429
"North Las Vegas, Nevada, United States",North Las Vegas,Nevada,City,234807
"Fremont, California, United States",Fremont,California,City,232206
"Spokane, Washington, United States",Spokane,Washington,City,229447
"Baton Rouge, Louisiana, United States",Baton Rouge,Louisiana,City,227470
"Upper West Side, New York, United States",Upper West Side,New York,City,226989
"Richmond, Virginia, United States",Richmond,Virginia,City,226610
"Paradise, Nevada, United States",Paradise,Nevada,City,223167
"Tacoma, Washington, United States",Tacoma,Washington,City,222906
"Jamaica, New York, United States",Jamaica,New York,City,216866
"San Bernardino, California, United States",San Bernardino,California,City,216108
"Salt Lake City, Utah, United States",Salt Lake City,Utah,City,215548
"Huntsville, Alabama, United States",Huntsville,Alabama,City,215006
"Des Moines, Iowa, United States",Des Moines,Iowa,City,214133
"Fontana, California, United States",Fontana,California,City,212704
"Modesto, California, United States",Modesto,California,City,211266
"Rochester, New York, United States",Rochester,New York,City,209802
"Maryvale, Arizona, United States",Maryvale,Arizona,City,208189
"Arlington, Virginia, United States",Arlington,Virginia,City,207627
"Oxnard, California, United States",Oxnard,California,City,207254
"Columbus, Georgia, United States",Columbus,Georgia,City,206922
"Worcester, Massachusetts, United States",Worcester,Massachusetts,City,206518
